ts,value,pod
1666596664,7696.766666666666,webhosting-operator-559494f768-7cjp8
1666596679,7696.766666666666,webhosting-operator-559494f768-7cjp8
1666596694,9766.6,webhosting-operator-559494f768-7cjp8
1666596709,9766.6,webhosting-operator-559494f768-7cjp8
1666596724,747328.6666666666,webhosting-operator-559494f768-7cjp8
1666596739,747328.6666666666,webhosting-operator-559494f768-7cjp8
1666596754,813851.3666666667,webhosting-operator-559494f768-7cjp8
1666596769,813851.3666666667,webhosting-operator-559494f768-7cjp8
1666596784,975903.2666666667,webhosting-operator-559494f768-7cjp8
1666596799,975903.2666666667,webhosting-operator-559494f768-7cjp8
1666596814,1483289.4,webhosting-operator-559494f768-7cjp8
1666596829,1483289.4,webhosting-operator-559494f768-7cjp8
1666596844,1051528.5666666667,webhosting-operator-559494f768-7cjp8
1666596859,1051528.5666666667,webhosting-operator-559494f768-7cjp8
1666596874,1300659.2,webhosting-operator-559494f768-7cjp8
1666596889,1300659.2,webhosting-operator-559494f768-7cjp8
1666596904,1175356.4,webhosting-operator-559494f768-7cjp8
1666596919,1175356.4,webhosting-operator-559494f768-7cjp8
1666596934,1463616.3666666667,webhosting-operator-559494f768-7cjp8
1666596949,1463616.3666666667,webhosting-operator-559494f768-7cjp8
1666596964,1693552.2,webhosting-operator-559494f768-7cjp8
1666596979,1693552.2,webhosting-operator-559494f768-7cjp8
1666596994,914709.1,webhosting-operator-559494f768-7cjp8
1666597009,914709.1,webhosting-operator-559494f768-7cjp8
1666597024,1844339.1333333333,webhosting-operator-559494f768-7cjp8
1666597039,1844339.1333333333,webhosting-operator-559494f768-7cjp8
1666597054,2319807.8666666667,webhosting-operator-559494f768-7cjp8
1666597069,2319807.8666666667,webhosting-operator-559494f768-7cjp8
1666597084,1688829.2666666666,webhosting-operator-559494f768-7cjp8
1666597099,1688829.2666666666,webhosting-operator-559494f768-7cjp8
1666597114,1537004.7,webhosting-operator-559494f768-7cjp8
1666597129,1537004.7,webhosting-operator-559494f768-7cjp8
1666597144,2190759.7666666666,webhosting-operator-559494f768-7cjp8
1666597159,2190759.7666666666,webhosting-operator-559494f768-7cjp8
1666597174,1575473,webhosting-operator-559494f768-7cjp8
1666597189,1575473,webhosting-operator-559494f768-7cjp8
1666597204,1596448.9,webhosting-operator-559494f768-7cjp8
1666597219,1596448.9,webhosting-operator-559494f768-7cjp8
1666597234,1143817.9,webhosting-operator-559494f768-7cjp8
1666597249,1143817.9,webhosting-operator-559494f768-7cjp8
1666597264,2311061.7333333334,webhosting-operator-559494f768-7cjp8
1666597279,2311061.7333333334,webhosting-operator-559494f768-7cjp8
1666597294,1789294.4333333333,webhosting-operator-559494f768-7cjp8
1666597309,1789294.4333333333,webhosting-operator-559494f768-7cjp8
1666597324,2347948.3,webhosting-operator-559494f768-7cjp8
1666597339,2347948.3,webhosting-operator-559494f768-7cjp8
1666597354,2284189.3,webhosting-operator-559494f768-7cjp8
1666597369,2284189.3,webhosting-operator-559494f768-7cjp8
1666597384,2577922.033333333,webhosting-operator-559494f768-7cjp8
1666597399,2577922.033333333,webhosting-operator-559494f768-7cjp8
1666597414,1241522,webhosting-operator-559494f768-7cjp8
1666597429,1241522,webhosting-operator-559494f768-7cjp8
1666596664,1027.0333333333333,webhosting-operator-559494f768-rbsdv
1666596679,1027.0333333333333,webhosting-operator-559494f768-rbsdv
1666596694,20114.966666666667,webhosting-operator-559494f768-rbsdv
1666596709,20114.966666666667,webhosting-operator-559494f768-rbsdv
1666596724,301821.8333333333,webhosting-operator-559494f768-rbsdv
1666596739,301821.8333333333,webhosting-operator-559494f768-rbsdv
1666596754,403914.63333333336,webhosting-operator-559494f768-rbsdv
1666596769,403914.63333333336,webhosting-operator-559494f768-rbsdv
1666596784,536388.5,webhosting-operator-559494f768-rbsdv
1666596799,536388.5,webhosting-operator-559494f768-rbsdv
1666596814,253055.5,webhosting-operator-559494f768-rbsdv
1666596829,253055.5,webhosting-operator-559494f768-rbsdv
1666596844,774640.0333333333,webhosting-operator-559494f768-rbsdv
1666596859,774640.0333333333,webhosting-operator-559494f768-rbsdv
1666596874,611477.3,webhosting-operator-559494f768-rbsdv
1666596889,611477.3,webhosting-operator-559494f768-rbsdv
1666596904,606630.4333333333,webhosting-operator-559494f768-rbsdv
1666596919,606630.4333333333,webhosting-operator-559494f768-rbsdv
1666596934,714420,webhosting-operator-559494f768-rbsdv
1666596949,714420,webhosting-operator-559494f768-rbsdv
1666596964,574572.5666666667,webhosting-operator-559494f768-rbsdv
1666596979,574572.5666666667,webhosting-operator-559494f768-rbsdv
1666596994,783198.3,webhosting-operator-559494f768-rbsdv
1666597009,783198.3,webhosting-operator-559494f768-rbsdv
1666597024,918328.3,webhosting-operator-559494f768-rbsdv
1666597039,918328.3,webhosting-operator-559494f768-rbsdv
1666597054,704373.4,webhosting-operator-559494f768-rbsdv
1666597069,704373.4,webhosting-operator-559494f768-rbsdv
1666597084,1080170.6666666667,webhosting-operator-559494f768-rbsdv
1666597099,1080170.6666666667,webhosting-operator-559494f768-rbsdv
1666597114,871013.4333333333,webhosting-operator-559494f768-rbsdv
1666597129,871013.4333333333,webhosting-operator-559494f768-rbsdv
1666597144,1038878.2333333333,webhosting-operator-559494f768-rbsdv
1666597159,1038878.2333333333,webhosting-operator-559494f768-rbsdv
1666597174,1036225.8,webhosting-operator-559494f768-rbsdv
1666597189,1036225.8,webhosting-operator-559494f768-rbsdv
1666597204,1079971.0333333334,webhosting-operator-559494f768-rbsdv
1666597219,1079971.0333333334,webhosting-operator-559494f768-rbsdv
1666597234,1002237.7,webhosting-operator-559494f768-rbsdv
1666597249,1002237.7,webhosting-operator-559494f768-rbsdv
1666597264,1101517.3666666667,webhosting-operator-559494f768-rbsdv
1666597279,1101517.3666666667,webhosting-operator-559494f768-rbsdv
1666597294,1350135,webhosting-operator-559494f768-rbsdv
1666597309,1350135,webhosting-operator-559494f768-rbsdv
1666597324,594864.8,webhosting-operator-559494f768-rbsdv
1666597339,594864.8,webhosting-operator-559494f768-rbsdv
1666597354,1039404.3,webhosting-operator-559494f768-rbsdv
1666597369,1039404.3,webhosting-operator-559494f768-rbsdv
1666597384,811162.3666666667,webhosting-operator-559494f768-rbsdv
1666597399,811162.3666666667,webhosting-operator-559494f768-rbsdv
1666597414,1036897.6666666666,webhosting-operator-559494f768-rbsdv
1666597429,1036897.6666666666,webhosting-operator-559494f768-rbsdv
1666596664,1472.9666666666667,webhosting-operator-559494f768-sk4mv
1666596679,1472.9666666666667,webhosting-operator-559494f768-sk4mv
1666596694,2268.766666666667,webhosting-operator-559494f768-sk4mv
1666596709,2268.766666666667,webhosting-operator-559494f768-sk4mv
1666596724,395115.86666666664,webhosting-operator-559494f768-sk4mv
1666596739,395115.86666666664,webhosting-operator-559494f768-sk4mv
1666596754,217069.1,webhosting-operator-559494f768-sk4mv
1666596769,217069.1,webhosting-operator-559494f768-sk4mv
1666596784,533214.9333333333,webhosting-operator-559494f768-sk4mv
1666596799,533214.9333333333,webhosting-operator-559494f768-sk4mv
1666596814,389164.76666666666,webhosting-operator-559494f768-sk4mv
1666596829,389164.76666666666,webhosting-operator-559494f768-sk4mv
1666596844,432291.7,webhosting-operator-559494f768-sk4mv
1666596859,432291.7,webhosting-operator-559494f768-sk4mv
1666596874,622157.0333333333,webhosting-operator-559494f768-sk4mv
1666596889,622157.0333333333,webhosting-operator-559494f768-sk4mv
1666596904,643900.4333333333,webhosting-operator-559494f768-sk4mv
1666596919,643900.4333333333,webhosting-operator-559494f768-sk4mv
1666596934,313061.4,webhosting-operator-559494f768-sk4mv
1666596949,313061.4,webhosting-operator-559494f768-sk4mv
1666596964,638661.4333333333,webhosting-operator-559494f768-sk4mv
1666596979,638661.4333333333,webhosting-operator-559494f768-sk4mv
1666596994,815696.2333333333,webhosting-operator-559494f768-sk4mv
1666597009,815696.2333333333,webhosting-operator-559494f768-sk4mv
1666597024,648336.8333333334,webhosting-operator-559494f768-sk4mv
1666597039,648336.8333333334,webhosting-operator-559494f768-sk4mv
1666597054,723433.9333333333,webhosting-operator-559494f768-sk4mv
1666597069,723433.9333333333,webhosting-operator-559494f768-sk4mv
1666597084,703435,webhosting-operator-559494f768-sk4mv
1666597099,703435,webhosting-operator-559494f768-sk4mv
1666597114,994627.1333333333,webhosting-operator-559494f768-sk4mv
1666597129,994627.1333333333,webhosting-operator-559494f768-sk4mv
1666597144,591473.4,webhosting-operator-559494f768-sk4mv
1666597159,591473.4,webhosting-operator-559494f768-sk4mv
1666597174,901744.5333333333,webhosting-operator-559494f768-sk4mv
1666597189,901744.5333333333,webhosting-operator-559494f768-sk4mv
1666597204,877303.3666666667,webhosting-operator-559494f768-sk4mv
1666597219,877303.3666666667,webhosting-operator-559494f768-sk4mv
1666597234,886034.1,webhosting-operator-559494f768-sk4mv
1666597249,886034.1,webhosting-operator-559494f768-sk4mv
1666597264,1022744.6333333333,webhosting-operator-559494f768-sk4mv
1666597279,1022744.6333333333,webhosting-operator-559494f768-sk4mv
1666597294,957067.4333333333,webhosting-operator-559494f768-sk4mv
1666597309,957067.4333333333,webhosting-operator-559494f768-sk4mv
1666597324,1094316.6,webhosting-operator-559494f768-sk4mv
1666597339,1094316.6,webhosting-operator-559494f768-sk4mv
1666597354,978571.1333333333,webhosting-operator-559494f768-sk4mv
1666597369,978571.1333333333,webhosting-operator-559494f768-sk4mv
1666597384,539548.3666666667,webhosting-operator-559494f768-sk4mv
1666597399,539548.3666666667,webhosting-operator-559494f768-sk4mv
