ts,value,pod
1666194135,1689.4,webhosting-operator-7577fc8bc9-8zg94
1666194150,602.9666666666667,webhosting-operator-7577fc8bc9-8zg94
1666194165,602.9666666666667,webhosting-operator-7577fc8bc9-8zg94
1666194180,17097.933333333334,webhosting-operator-7577fc8bc9-8zg94
1666194195,17097.933333333334,webhosting-operator-7577fc8bc9-8zg94
1666194210,156863.33333333334,webhosting-operator-7577fc8bc9-8zg94
1666194225,156863.33333333334,webhosting-operator-7577fc8bc9-8zg94
1666194240,123358.43333333333,webhosting-operator-7577fc8bc9-8zg94
1666194255,123358.43333333333,webhosting-operator-7577fc8bc9-8zg94
1666194270,238247,webhosting-operator-7577fc8bc9-8zg94
1666194285,238247,webhosting-operator-7577fc8bc9-8zg94
1666194300,167795.45530159364,webhosting-operator-7577fc8bc9-8zg94
1666194315,167795.45530159364,webhosting-operator-7577fc8bc9-8zg94
1666194330,218777.77777777778,webhosting-operator-7577fc8bc9-8zg94
1666194345,218777.77777777778,webhosting-operator-7577fc8bc9-8zg94
1666194360,266174.76666666666,webhosting-operator-7577fc8bc9-8zg94
1666194375,266174.76666666666,webhosting-operator-7577fc8bc9-8zg94
1666194390,243439.33333333334,webhosting-operator-7577fc8bc9-8zg94
1666194405,243439.33333333334,webhosting-operator-7577fc8bc9-8zg94
1666194420,254300.03333333333,webhosting-operator-7577fc8bc9-8zg94
1666194435,254300.03333333333,webhosting-operator-7577fc8bc9-8zg94
1666194450,508736.1,webhosting-operator-7577fc8bc9-8zg94
1666194465,508736.1,webhosting-operator-7577fc8bc9-8zg94
1666194480,258362.7,webhosting-operator-7577fc8bc9-8zg94
1666194495,258362.7,webhosting-operator-7577fc8bc9-8zg94
1666194510,474650.4,webhosting-operator-7577fc8bc9-8zg94
1666194525,474650.4,webhosting-operator-7577fc8bc9-8zg94
1666194540,173241.46666666667,webhosting-operator-7577fc8bc9-8zg94
1666194555,173241.46666666667,webhosting-operator-7577fc8bc9-8zg94
1666194570,429411.8333333333,webhosting-operator-7577fc8bc9-8zg94
1666194585,429411.8333333333,webhosting-operator-7577fc8bc9-8zg94
1666194600,575693.3,webhosting-operator-7577fc8bc9-8zg94
1666194615,575693.3,webhosting-operator-7577fc8bc9-8zg94
1666194630,388508.5333333333,webhosting-operator-7577fc8bc9-8zg94
1666194645,388508.5333333333,webhosting-operator-7577fc8bc9-8zg94
1666194660,381678.18653539114,webhosting-operator-7577fc8bc9-8zg94
1666194675,381678.18653539114,webhosting-operator-7577fc8bc9-8zg94
1666194690,506485.70283270977,webhosting-operator-7577fc8bc9-8zg94
1666194705,506485.70283270977,webhosting-operator-7577fc8bc9-8zg94
1666194720,455012.8303395874,webhosting-operator-7577fc8bc9-8zg94
1666194735,455012.8303395874,webhosting-operator-7577fc8bc9-8zg94
1666194750,515742.53992598277,webhosting-operator-7577fc8bc9-8zg94
1666194765,515742.53992598277,webhosting-operator-7577fc8bc9-8zg94
1666194780,497538.2,webhosting-operator-7577fc8bc9-8zg94
1666194795,497538.2,webhosting-operator-7577fc8bc9-8zg94
1666194810,421650.26666666666,webhosting-operator-7577fc8bc9-8zg94
1666194825,421650.26666666666,webhosting-operator-7577fc8bc9-8zg94
1666194840,389911.1,webhosting-operator-7577fc8bc9-8zg94
1666194855,389911.1,webhosting-operator-7577fc8bc9-8zg94
1666194870,367796.1666666667,webhosting-operator-7577fc8bc9-8zg94
1666194885,367796.1666666667,webhosting-operator-7577fc8bc9-8zg94
1666194900,365550.3333333333,webhosting-operator-7577fc8bc9-8zg94
1666194915,365550.3333333333,webhosting-operator-7577fc8bc9-8zg94
1666194930,400197.06666666665,webhosting-operator-7577fc8bc9-8zg94
1666194945,400197.06666666665,webhosting-operator-7577fc8bc9-8zg94
1666194960,300323.5,webhosting-operator-7577fc8bc9-8zg94
1666194975,300323.5,webhosting-operator-7577fc8bc9-8zg94
1666194990,312810.9666666667,webhosting-operator-7577fc8bc9-8zg94
1666195005,312810.9666666667,webhosting-operator-7577fc8bc9-8zg94
1666195020,418954.3,webhosting-operator-7577fc8bc9-8zg94
1666195035,418954.3,webhosting-operator-7577fc8bc9-8zg94
1666195050,366420.65868263476,webhosting-operator-7577fc8bc9-8zg94
1666195065,366420.65868263476,webhosting-operator-7577fc8bc9-8zg94
1666194135,762.7,webhosting-operator-7577fc8bc9-bpr85
1666194150,1192.2333333333333,webhosting-operator-7577fc8bc9-bpr85
1666194165,1192.2333333333333,webhosting-operator-7577fc8bc9-bpr85
1666194180,1234.1,webhosting-operator-7577fc8bc9-bpr85
1666194195,1234.1,webhosting-operator-7577fc8bc9-bpr85
1666194210,169174.9,webhosting-operator-7577fc8bc9-bpr85
1666194225,169174.9,webhosting-operator-7577fc8bc9-bpr85
1666194240,216634.96666666667,webhosting-operator-7577fc8bc9-bpr85
1666194255,216634.96666666667,webhosting-operator-7577fc8bc9-bpr85
1666194270,208949.13333333333,webhosting-operator-7577fc8bc9-bpr85
1666194285,208949.13333333333,webhosting-operator-7577fc8bc9-bpr85
1666194300,279844.6618092291,webhosting-operator-7577fc8bc9-bpr85
1666194315,279844.6618092291,webhosting-operator-7577fc8bc9-bpr85
1666194330,284688.9757205357,webhosting-operator-7577fc8bc9-bpr85
1666194345,284688.9757205357,webhosting-operator-7577fc8bc9-bpr85
1666194360,375156.9,webhosting-operator-7577fc8bc9-bpr85
1666194375,375156.9,webhosting-operator-7577fc8bc9-bpr85
1666194390,117066.96666666666,webhosting-operator-7577fc8bc9-bpr85
1666194405,117066.96666666666,webhosting-operator-7577fc8bc9-bpr85
1666194420,368233.6666666667,webhosting-operator-7577fc8bc9-bpr85
1666194435,368233.6666666667,webhosting-operator-7577fc8bc9-bpr85
1666194450,518154.26666666666,webhosting-operator-7577fc8bc9-bpr85
1666194465,518154.26666666666,webhosting-operator-7577fc8bc9-bpr85
1666194480,358205.43333333335,webhosting-operator-7577fc8bc9-bpr85
1666194495,358205.43333333335,webhosting-operator-7577fc8bc9-bpr85
1666194510,341721.73333333334,webhosting-operator-7577fc8bc9-bpr85
1666194525,341721.73333333334,webhosting-operator-7577fc8bc9-bpr85
1666194540,446401.63333333336,webhosting-operator-7577fc8bc9-bpr85
1666194555,446401.63333333336,webhosting-operator-7577fc8bc9-bpr85
1666194570,377918.5333333333,webhosting-operator-7577fc8bc9-bpr85
1666194585,377918.5333333333,webhosting-operator-7577fc8bc9-bpr85
1666194600,574287.7,webhosting-operator-7577fc8bc9-bpr85
1666194615,574287.7,webhosting-operator-7577fc8bc9-bpr85
1666194630,193568.86666666667,webhosting-operator-7577fc8bc9-bpr85
1666194645,193568.86666666667,webhosting-operator-7577fc8bc9-bpr85
1666194660,583897.6849387973,webhosting-operator-7577fc8bc9-bpr85
1666194675,583897.6849387973,webhosting-operator-7577fc8bc9-bpr85
1666194690,503899.5523784073,webhosting-operator-7577fc8bc9-bpr85
1666194705,503899.5523784073,webhosting-operator-7577fc8bc9-bpr85
1666194720,589246.5757989802,webhosting-operator-7577fc8bc9-bpr85
1666194735,589246.5757989802,webhosting-operator-7577fc8bc9-bpr85
1666194750,232299.16980628815,webhosting-operator-7577fc8bc9-bpr85
1666194765,232299.16980628815,webhosting-operator-7577fc8bc9-bpr85
1666194780,564454.4,webhosting-operator-7577fc8bc9-bpr85
1666194795,564454.4,webhosting-operator-7577fc8bc9-bpr85
1666194810,437484.8,webhosting-operator-7577fc8bc9-bpr85
