ts,value,namespace
1666194150,0,project-2mjqn
1666194165,0,project-2mjqn
1666194180,4,project-2mjqn
1666194195,15,project-2mjqn
1666194210,22,project-2mjqn
1666194225,32,project-2mjqn
1666194240,34,project-2mjqn
1666194255,51,project-2mjqn
1666194270,59,project-2mjqn
1666194285,77,project-2mjqn
1666194300,82,project-2mjqn
1666194315,99,project-2mjqn
1666194330,105,project-2mjqn
1666194345,123,project-2mjqn
1666194360,130,project-2mjqn
1666194375,141,project-2mjqn
1666194390,149,project-2mjqn
1666194405,167,project-2mjqn
1666194420,171,project-2mjqn
1666194435,182,project-2mjqn
1666194450,186,project-2mjqn
1666194465,199,project-2mjqn
1666194480,206,project-2mjqn
1666194495,215,project-2mjqn
1666194510,226,project-2mjqn
1666194525,239,project-2mjqn
1666194540,247,project-2mjqn
1666194555,266,project-2mjqn
1666194570,274,project-2mjqn
1666194585,292,project-2mjqn
1666194600,299,project-2mjqn
1666194615,302,project-2mjqn
1666194630,311,project-2mjqn
1666194645,317,project-2mjqn
1666194660,328,project-2mjqn
1666194675,344,project-2mjqn
1666194690,350,project-2mjqn
1666194705,364,project-2mjqn
1666194720,376,project-2mjqn
1666194735,386,project-2mjqn
1666194750,393,project-2mjqn
1666194765,404,project-2mjqn
1666194780,404,project-2mjqn
1666194795,404,project-2mjqn
1666194810,404,project-2mjqn
1666194825,404,project-2mjqn
1666194840,404,project-2mjqn
1666194855,404,project-2mjqn
1666194870,404,project-2mjqn
1666194885,404,project-2mjqn
1666194900,404,project-2mjqn
1666194915,404,project-2mjqn
1666194930,404,project-2mjqn
1666194945,404,project-2mjqn
1666194960,404,project-2mjqn
1666194975,404,project-2mjqn
1666194990,404,project-2mjqn
1666195005,404,project-2mjqn
1666195020,404,project-2mjqn
1666195035,404,project-2mjqn
1666195050,404,project-2mjqn
1666195065,404,project-2mjqn
1666194150,0,project-4cr7x
1666194165,0,project-4cr7x
1666194180,6,project-4cr7x
1666194195,15,project-4cr7x
1666194210,19,project-4cr7x
1666194225,33,project-4cr7x
1666194240,39,project-4cr7x
1666194255,48,project-4cr7x
1666194270,60,project-4cr7x
1666194285,67,project-4cr7x
1666194300,75,project-4cr7x
1666194315,85,project-4cr7x
1666194330,93,project-4cr7x
1666194345,106,project-4cr7x
1666194360,111,project-4cr7x
1666194375,125,project-4cr7x
1666194390,132,project-4cr7x
1666194405,142,project-4cr7x
1666194420,148,project-4cr7x
1666194435,164,project-4cr7x
1666194450,172,project-4cr7x
1666194465,184,project-4cr7x
1666194480,195,project-4cr7x
1666194495,217,project-4cr7x
1666194510,223,project-4cr7x
1666194525,234,project-4cr7x
1666194540,242,project-4cr7x
1666194555,257,project-4cr7x
1666194570,260,project-4cr7x
1666194585,272,project-4cr7x
1666194600,280,project-4cr7x
1666194615,290,project-4cr7x
1666194630,299,project-4cr7x
1666194645,311,project-4cr7x
1666194660,317,project-4cr7x
1666194675,332,project-4cr7x
1666194690,335,project-4cr7x
1666194705,348,project-4cr7x
1666194720,357,project-4cr7x
1666194735,367,project-4cr7x
1666194750,370,project-4cr7x
1666194765,382,project-4cr7x
1666194780,381,project-4cr7x
1666194795,381,project-4cr7x
1666194810,381,project-4cr7x
1666194825,381,project-4cr7x
1666194840,381,project-4cr7x
1666194855,381,project-4cr7x
1666194870,381,project-4cr7x
1666194885,381,project-4cr7x
1666194900,381,project-4cr7x
1666194915,381,project-4cr7x
1666194930,381,project-4cr7x
1666194945,381,project-4cr7x
1666194960,381,project-4cr7x
1666194975,381,project-4cr7x
1666194990,381,project-4cr7x
1666195005,381,project-4cr7x
1666195020,381,project-4cr7x
1666195035,381,project-4cr7x
1666195050,381,project-4cr7x
1666195065,381,project-4cr7x
1666194150,0,project-b5x6c
1666194165,0,project-b5x6c
1666194180,2,project-b5x6c
