ts,value,shard
1666596649,0,webhosting-operator-559494f768-7cjp8
1666596664,0,webhosting-operator-559494f768-7cjp8
1666596679,0,webhosting-operator-559494f768-7cjp8
1666596694,39,webhosting-operator-559494f768-7cjp8
1666596709,129,webhosting-operator-559494f768-7cjp8
1666596724,165,webhosting-operator-559494f768-7cjp8
1666596739,276,webhosting-operator-559494f768-7cjp8
1666596754,330,webhosting-operator-559494f768-7cjp8
1666596769,408,webhosting-operator-559494f768-7cjp8
1666596784,464,webhosting-operator-559494f768-7cjp8
1666596799,553,webhosting-operator-559494f768-7cjp8
1666596814,594,webhosting-operator-559494f768-7cjp8
1666596829,675,webhosting-operator-559494f768-7cjp8
1666596844,719,webhosting-operator-559494f768-7cjp8
1666596859,815,webhosting-operator-559494f768-7cjp8
1666596874,857,webhosting-operator-559494f768-7cjp8
1666596889,959,webhosting-operator-559494f768-7cjp8
1666596904,1002,webhosting-operator-559494f768-7cjp8
1666596919,1090,webhosting-operator-559494f768-7cjp8
1666596934,1129,webhosting-operator-559494f768-7cjp8
1666596949,1228,webhosting-operator-559494f768-7cjp8
1666596964,1273,webhosting-operator-559494f768-7cjp8
1666596979,1366,webhosting-operator-559494f768-7cjp8
1666596994,1422,webhosting-operator-559494f768-7cjp8
1666597009,1506,webhosting-operator-559494f768-7cjp8
1666597024,1552,webhosting-operator-559494f768-7cjp8
1666597039,1658,webhosting-operator-559494f768-7cjp8
1666597054,1708,webhosting-operator-559494f768-7cjp8
1666597069,1803,webhosting-operator-559494f768-7cjp8
1666597084,1843,webhosting-operator-559494f768-7cjp8
1666597099,1937,webhosting-operator-559494f768-7cjp8
1666597114,1982,webhosting-operator-559494f768-7cjp8
1666597129,2058,webhosting-operator-559494f768-7cjp8
1666597144,2101,webhosting-operator-559494f768-7cjp8
1666597159,2193,webhosting-operator-559494f768-7cjp8
1666597174,2237,webhosting-operator-559494f768-7cjp8
1666597189,2340,webhosting-operator-559494f768-7cjp8
1666597204,2388,webhosting-operator-559494f768-7cjp8
1666597219,2475,webhosting-operator-559494f768-7cjp8
1666597234,2508,webhosting-operator-559494f768-7cjp8
1666597249,2599,webhosting-operator-559494f768-7cjp8
1666597264,2637,webhosting-operator-559494f768-7cjp8
1666597279,2732,webhosting-operator-559494f768-7cjp8
1666597294,2743,webhosting-operator-559494f768-7cjp8
1666597309,2743,webhosting-operator-559494f768-7cjp8
1666597324,2743,webhosting-operator-559494f768-7cjp8
1666597339,2743,webhosting-operator-559494f768-7cjp8
1666597354,2743,webhosting-operator-559494f768-7cjp8
1666597369,2743,webhosting-operator-559494f768-7cjp8
1666597384,2743,webhosting-operator-559494f768-7cjp8
1666597399,2743,webhosting-operator-559494f768-7cjp8
1666597414,2743,webhosting-operator-559494f768-7cjp8
1666597429,2743,webhosting-operator-559494f768-7cjp8
1666596649,0,webhosting-operator-559494f768-rbsdv
1666596664,0,webhosting-operator-559494f768-rbsdv
1666596679,0,webhosting-operator-559494f768-rbsdv
1666596694,43,webhosting-operator-559494f768-rbsdv
1666596709,133,webhosting-operator-559494f768-rbsdv
1666596724,180,webhosting-operator-559494f768-rbsdv
1666596739,254,webhosting-operator-559494f768-rbsdv
1666596754,293,webhosting-operator-559494f768-rbsdv
1666596769,393,webhosting-operator-559494f768-rbsdv
1666596784,425,webhosting-operator-559494f768-rbsdv
1666596799,520,webhosting-operator-559494f768-rbsdv
1666596814,568,webhosting-operator-559494f768-rbsdv
1666596829,670,webhosting-operator-559494f768-rbsdv
1666596844,714,webhosting-operator-559494f768-rbsdv
1666596859,802,webhosting-operator-559494f768-rbsdv
1666596874,848,webhosting-operator-559494f768-rbsdv
1666596889,931,webhosting-operator-559494f768-rbsdv
1666596904,986,webhosting-operator-559494f768-rbsdv
1666596919,1089,webhosting-operator-559494f768-rbsdv
1666596934,1131,webhosting-operator-559494f768-rbsdv
1666596949,1216,webhosting-operator-559494f768-rbsdv
1666596964,1254,webhosting-operator-559494f768-rbsdv
1666596979,1340,webhosting-operator-559494f768-rbsdv
1666596994,1377,webhosting-operator-559494f768-rbsdv
1666597009,1460,webhosting-operator-559494f768-rbsdv
1666597024,1500,webhosting-operator-559494f768-rbsdv
1666597039,1586,webhosting-operator-559494f768-rbsdv
1666597054,1636,webhosting-operator-559494f768-rbsdv
1666597069,1728,webhosting-operator-559494f768-rbsdv
1666597084,1768,webhosting-operator-559494f768-rbsdv
1666597099,1852,webhosting-operator-559494f768-rbsdv
1666597114,1898,webhosting-operator-559494f768-rbsdv
1666597129,1994,webhosting-operator-559494f768-rbsdv
1666597144,2026,webhosting-operator-559494f768-rbsdv
1666597159,2122,webhosting-operator-559494f768-rbsdv
1666597174,2152,webhosting-operator-559494f768-rbsdv
1666597189,2245,webhosting-operator-559494f768-rbsdv
1666597204,2295,webhosting-operator-559494f768-rbsdv
1666597219,2378,webhosting-operator-559494f768-rbsdv
1666597234,2425,webhosting-operator-559494f768-rbsdv
1666597249,2511,webhosting-operator-559494f768-rbsdv
1666597264,2555,webhosting-operator-559494f768-rbsdv
1666597279,2634,webhosting-operator-559494f768-rbsdv
1666597294,2638,webhosting-operator-559494f768-rbsdv
1666597309,2638,webhosting-operator-559494f768-rbsdv
1666597324,2638,webhosting-operator-559494f768-rbsdv
1666597339,2638,webhosting-operator-559494f768-rbsdv
1666597354,2638,webhosting-operator-559494f768-rbsdv
1666597369,2638,webhosting-operator-559494f768-rbsdv
1666597384,2638,webhosting-operator-559494f768-rbsdv
1666597399,2638,webhosting-operator-559494f768-rbsdv
1666597414,2638,webhosting-operator-559494f768-rbsdv
1666597429,2638,webhosting-operator-559494f768-rbsdv
1666596649,0,webhosting-operator-559494f768-sk4mv
1666596664,0,webhosting-operator-559494f768-sk4mv
1666596679,0,webhosting-operator-559494f768-sk4mv
1666596694,39,webhosting-operator-559494f768-sk4mv
1666596709,119,webhosting-operator-559494f768-sk4mv
1666596724,166,webhosting-operator-559494f768-sk4mv
1666596739,241,webhosting-operator-559494f768-sk4mv
1666596754,278,webhosting-operator-559494f768-sk4mv
1666596769,360,webhosting-operator-559494f768-sk4mv
1666596784,402,webhosting-operator-559494f768-sk4mv
1666596799,478,webhosting-operator-559494f768-sk4mv
1666596814,519,webhosting-operator-559494f768-sk4mv
1666596829,596,webhosting-operator-559494f768-sk4mv
1666596844,638,webhosting-operator-559494f768-sk4mv
1666596859,714,webhosting-operator-559494f768-sk4mv
1666596874,756,webhosting-operator-559494f768-sk4mv
1666596889,831,webhosting-operator-559494f768-sk4mv
1666596904,863,webhosting-operator-559494f768-sk4mv
1666596919,932,webhosting-operator-559494f768-sk4mv
1666596934,981,webhosting-operator-559494f768-sk4mv
1666596949,1057,webhosting-operator-559494f768-sk4mv
1666596964,1103,webhosting-operator-559494f768-sk4mv
1666596979,1185,webhosting-operator-559494f768-sk4mv
1666596994,1221,webhosting-operator-559494f768-sk4mv
1666597009,1315,webhosting-operator-559494f768-sk4mv
1666597024,1359,webhosting-operator-559494f768-sk4mv
1666597039,1427,webhosting-operator-559494f768-sk4mv
1666597054,1457,webhosting-operator-559494f768-sk4mv
1666597069,1515,webhosting-operator-559494f768-sk4mv
1666597084,1565,webhosting-operator-559494f768-sk4mv
1666597099,1648,webhosting-operator-559494f768-sk4mv
1666597114,1687,webhosting-operator-559494f768-sk4mv
1666597129,1774,webhosting-operator-559494f768-sk4mv
1666597144,1829,webhosting-operator-559494f768-sk4mv
1666597159,1901,webhosting-operator-559494f768-sk4mv
1666597174,1956,webhosting-operator-559494f768-sk4mv
1666597189,2021,webhosting-operator-559494f768-sk4mv
1666597204,2053,webhosting-operator-559494f768-sk4mv
1666597219,2143,webhosting-operator-559494f768-sk4mv
1666597234,2193,webhosting-operator-559494f768-sk4mv
1666597249,2276,webhosting-operator-559494f768-sk4mv
1666597264,2324,webhosting-operator-559494f768-sk4mv
1666597279,2410,webhosting-operator-559494f768-sk4mv
1666597294,2415,webhosting-operator-559494f768-sk4mv
1666597309,2415,webhosting-operator-559494f768-sk4mv
1666597324,2415,webhosting-operator-559494f768-sk4mv
1666597339,2415,webhosting-operator-559494f768-sk4mv
1666597354,2415,webhosting-operator-559494f768-sk4mv
1666597369,2415,webhosting-operator-559494f768-sk4mv
1666597384,2415,webhosting-operator-559494f768-sk4mv
1666597399,2415,webhosting-operator-559494f768-sk4mv
1666597414,2415,webhosting-operator-559494f768-sk4mv
1666597429,2415,webhosting-operator-559494f768-sk4mv
