ts,value,theme
1666596664,0,theme-2l75h
1666596679,0,theme-2l75h
1666596694,0,theme-2l75h
1666596709,4,theme-2l75h
1666596724,7,theme-2l75h
1666596739,9,theme-2l75h
1666596754,11,theme-2l75h
1666596769,17,theme-2l75h
1666596784,24,theme-2l75h
1666596799,30,theme-2l75h
1666596814,31,theme-2l75h
1666596829,38,theme-2l75h
1666596844,39,theme-2l75h
1666596859,40,theme-2l75h
1666596874,41,theme-2l75h
1666596889,45,theme-2l75h
1666596904,49,theme-2l75h
1666596919,53,theme-2l75h
1666596934,56,theme-2l75h
1666596949,60,theme-2l75h
1666596964,62,theme-2l75h
1666596979,68,theme-2l75h
1666596994,69,theme-2l75h
1666597009,76,theme-2l75h
1666597024,78,theme-2l75h
1666597039,83,theme-2l75h
1666597054,84,theme-2l75h
1666597069,89,theme-2l75h
1666597084,90,theme-2l75h
1666597099,94,theme-2l75h
1666597114,98,theme-2l75h
1666597129,105,theme-2l75h
1666597144,106,theme-2l75h
1666597159,112,theme-2l75h
1666597174,115,theme-2l75h
1666597189,120,theme-2l75h
1666597204,125,theme-2l75h
1666597219,134,theme-2l75h
1666597234,138,theme-2l75h
1666597249,144,theme-2l75h
1666597264,147,theme-2l75h
1666597279,157,theme-2l75h
1666597294,157,theme-2l75h
1666597309,157,theme-2l75h
1666597324,157,theme-2l75h
1666597339,157,theme-2l75h
1666597354,157,theme-2l75h
1666597369,157,theme-2l75h
1666597384,157,theme-2l75h
1666597399,157,theme-2l75h
1666597414,157,theme-2l75h
1666597429,157,theme-2l75h
1666596664,0,theme-42tdm
1666596679,0,theme-42tdm
1666596694,1,theme-42tdm
1666596709,7,theme-42tdm
1666596724,7,theme-42tdm
1666596739,16,theme-42tdm
1666596754,18,theme-42tdm
1666596769,26,theme-42tdm
1666596784,29,theme-42tdm
1666596799,42,theme-42tdm
1666596814,47,theme-42tdm
1666596829,55,theme-42tdm
1666596844,59,theme-42tdm
1666596859,60,theme-42tdm
1666596874,61,theme-42tdm
1666596889,67,theme-42tdm
1666596904,69,theme-42tdm
1666596919,74,theme-42tdm
1666596934,77,theme-42tdm
1666596949,80,theme-42tdm
1666596964,82,theme-42tdm
1666596979,90,theme-42tdm
1666596994,94,theme-42tdm
1666597009,97,theme-42tdm
1666597024,98,theme-42tdm
1666597039,102,theme-42tdm
1666597054,108,theme-42tdm
1666597069,116,theme-42tdm
1666597084,118,theme-42tdm
1666597099,121,theme-42tdm
1666597114,123,theme-42tdm
1666597129,133,theme-42tdm
1666597144,134,theme-42tdm
1666597159,137,theme-42tdm
1666597174,140,theme-42tdm
1666597189,144,theme-42tdm
1666597204,150,theme-42tdm
1666597219,154,theme-42tdm
1666597234,160,theme-42tdm
1666597249,164,theme-42tdm
1666597264,167,theme-42tdm
1666597279,172,theme-42tdm
1666597294,172,theme-42tdm
1666597309,172,theme-42tdm
1666597324,172,theme-42tdm
1666597339,172,theme-42tdm
1666597354,172,theme-42tdm
1666597369,172,theme-42tdm
1666597384,172,theme-42tdm
1666597399,172,theme-42tdm
1666597414,172,theme-42tdm
1666597429,172,theme-42tdm
1666596664,0,theme-4826h
1666596679,0,theme-4826h
1666596694,4,theme-4826h
1666596709,9,theme-4826h
1666596724,11,theme-4826h
1666596739,16,theme-4826h
1666596754,18,theme-4826h
1666596769,23,theme-4826h
1666596784,28,theme-4826h
1666596799,34,theme-4826h
1666596814,38,theme-4826h
1666596829,40,theme-4826h
1666596844,45,theme-4826h
1666596859,48,theme-4826h
1666596874,54,theme-4826h
1666596889,58,theme-4826h
1666596904,62,theme-4826h
1666596919,66,theme-4826h
1666596934,71,theme-4826h
1666596949,71,theme-4826h
1666596964,72,theme-4826h
1666596979,74,theme-4826h
1666596994,75,theme-4826h
1666597009,76,theme-4826h
1666597024,80,theme-4826h
1666597039,83,theme-4826h
1666597054,87,theme-4826h
1666597069,91,theme-4826h
1666597084,98,theme-4826h
1666597099,106,theme-4826h
1666597114,109,theme-4826h
1666597129,111,theme-4826h
1666597144,119,theme-4826h
1666597159,123,theme-4826h
1666597174,126,theme-4826h
1666597189,129,theme-4826h
1666597204,131,theme-4826h
1666597219,134,theme-4826h
1666597234,139,theme-4826h
1666597249,150,theme-4826h
1666597264,152,theme-4826h
1666597279,155,theme-4826h
1666597294,155,theme-4826h
1666597309,155,theme-4826h
1666597324,155,theme-4826h
1666597339,155,theme-4826h
1666597354,155,theme-4826h
1666597369,155,theme-4826h
1666597384,155,theme-4826h
1666597399,155,theme-4826h
1666597414,155,theme-4826h
1666597429,155,theme-4826h
1666596664,0,theme-5d7c8
1666596679,0,theme-5d7c8
1666596694,5,theme-5d7c8
1666596709,11,theme-5d7c8
1666596724,11,theme-5d7c8
1666596739,19,theme-5d7c8
1666596754,20,theme-5d7c8
1666596769,26,theme-5d7c8
1666596784,31,theme-5d7c8
1666596799,33,theme-5d7c8
1666596814,35,theme-5d7c8
1666596829,41,theme-5d7c8
1666596844,41,theme-5d7c8
1666596859,45,theme-5d7c8
1666596874,45,theme-5d7c8
