ts,value,pod
1666592667,1691.4,webhosting-operator-6b5d9d485f-r99lx
1666592682,1691.4,webhosting-operator-6b5d9d485f-r99lx
1666592697,4250.266666666666,webhosting-operator-6b5d9d485f-r99lx
1666592712,4250.266666666666,webhosting-operator-6b5d9d485f-r99lx
1666592727,597901.3666666667,webhosting-operator-6b5d9d485f-r99lx
1666592742,597901.3666666667,webhosting-operator-6b5d9d485f-r99lx
1666592757,1258331.9,webhosting-operator-6b5d9d485f-r99lx
1666592772,1258331.9,webhosting-operator-6b5d9d485f-r99lx
1666592787,757256.7,webhosting-operator-6b5d9d485f-r99lx
1666592802,757256.7,webhosting-operator-6b5d9d485f-r99lx
1666592817,1451474.7333333334,webhosting-operator-6b5d9d485f-r99lx
1666592832,1451474.7333333334,webhosting-operator-6b5d9d485f-r99lx
1666592847,1657433,webhosting-operator-6b5d9d485f-r99lx
1666592862,1657433,webhosting-operator-6b5d9d485f-r99lx
1666592877,1422366.3666666667,webhosting-operator-6b5d9d485f-r99lx
1666592892,1422366.3666666667,webhosting-operator-6b5d9d485f-r99lx
1666592907,1752979.6333333333,webhosting-operator-6b5d9d485f-r99lx
1666592922,1752979.6333333333,webhosting-operator-6b5d9d485f-r99lx
1666592937,1770750.5666666667,webhosting-operator-6b5d9d485f-r99lx
1666592952,1770750.5666666667,webhosting-operator-6b5d9d485f-r99lx
1666592967,1875131.7333333334,webhosting-operator-6b5d9d485f-r99lx
1666592982,1875131.7333333334,webhosting-operator-6b5d9d485f-r99lx
1666592997,2142605.1333333333,webhosting-operator-6b5d9d485f-r99lx
1666593012,2142605.1333333333,webhosting-operator-6b5d9d485f-r99lx
1666593027,1858900.4666666666,webhosting-operator-6b5d9d485f-r99lx
1666593042,1858900.4666666666,webhosting-operator-6b5d9d485f-r99lx
1666593057,1745489.9666666666,webhosting-operator-6b5d9d485f-r99lx
1666593072,1745489.9666666666,webhosting-operator-6b5d9d485f-r99lx
1666593087,2139502.033333333,webhosting-operator-6b5d9d485f-r99lx
1666593102,2139502.033333333,webhosting-operator-6b5d9d485f-r99lx
1666593117,2205777.066666667,webhosting-operator-6b5d9d485f-r99lx
1666593132,2205777.066666667,webhosting-operator-6b5d9d485f-r99lx
1666593147,995816.1333333333,webhosting-operator-6b5d9d485f-r99lx
1666593162,995816.1333333333,webhosting-operator-6b5d9d485f-r99lx
1666593177,2976528.066666667,webhosting-operator-6b5d9d485f-r99lx
1666593192,2976528.066666667,webhosting-operator-6b5d9d485f-r99lx
1666593207,1353260.8,webhosting-operator-6b5d9d485f-r99lx
1666593222,1353260.8,webhosting-operator-6b5d9d485f-r99lx
1666593237,2375572.066666667,webhosting-operator-6b5d9d485f-r99lx
1666593252,2375572.066666667,webhosting-operator-6b5d9d485f-r99lx
1666593267,1585905.6666666667,webhosting-operator-6b5d9d485f-r99lx
1666593282,1585905.6666666667,webhosting-operator-6b5d9d485f-r99lx
1666593297,1955619.6666666667,webhosting-operator-6b5d9d485f-r99lx
1666593312,1955619.6666666667,webhosting-operator-6b5d9d485f-r99lx
1666593327,1895160.2333333334,webhosting-operator-6b5d9d485f-r99lx
1666593342,1895160.2333333334,webhosting-operator-6b5d9d485f-r99lx
1666593357,1774427.0333333334,webhosting-operator-6b5d9d485f-r99lx
1666593372,1774427.0333333334,webhosting-operator-6b5d9d485f-r99lx
1666593387,2124744.1,webhosting-operator-6b5d9d485f-r99lx
1666593402,2124744.1,webhosting-operator-6b5d9d485f-r99lx
1666593417,2130822.3333333335,webhosting-operator-6b5d9d485f-r99lx
1666593432,2130822.3333333335,webhosting-operator-6b5d9d485f-r99lx
1666593447,2045811.5,webhosting-operator-6b5d9d485f-r99lx
