ts,value,pod
1666196049,1038.9666666666667,webhosting-operator-898b48d54-fczkg
1666196064,1038.9666666666667,webhosting-operator-898b48d54-fczkg
1666196079,616.2666666666667,webhosting-operator-898b48d54-fczkg
1666196094,616.2666666666667,webhosting-operator-898b48d54-fczkg
1666196109,193811.2918787637,webhosting-operator-898b48d54-fczkg
1666196124,193811.2918787637,webhosting-operator-898b48d54-fczkg
1666196139,605407.4408041947,webhosting-operator-898b48d54-fczkg
1666196154,605407.4408041947,webhosting-operator-898b48d54-fczkg
1666196169,644392.7666666667,webhosting-operator-898b48d54-fczkg
1666196184,644392.7666666667,webhosting-operator-898b48d54-fczkg
1666196199,688237.8666666667,webhosting-operator-898b48d54-fczkg
1666196214,688237.8666666667,webhosting-operator-898b48d54-fczkg
1666196229,747950.2666666667,webhosting-operator-898b48d54-fczkg
1666196244,747950.2666666667,webhosting-operator-898b48d54-fczkg
1666196259,748774.7,webhosting-operator-898b48d54-fczkg
1666196274,748774.7,webhosting-operator-898b48d54-fczkg
1666196289,403029.0333333333,webhosting-operator-898b48d54-fczkg
1666196304,403029.0333333333,webhosting-operator-898b48d54-fczkg
1666196319,858254.5333333333,webhosting-operator-898b48d54-fczkg
1666196334,858254.5333333333,webhosting-operator-898b48d54-fczkg
1666196349,1215452.7333333334,webhosting-operator-898b48d54-fczkg
1666196364,1215452.7333333334,webhosting-operator-898b48d54-fczkg
1666196379,1039782.9333333333,webhosting-operator-898b48d54-fczkg
1666196394,1039782.9333333333,webhosting-operator-898b48d54-fczkg
1666196409,796407.1580911757,webhosting-operator-898b48d54-fczkg
1666196424,796407.1580911757,webhosting-operator-898b48d54-fczkg
1666196439,586197.3526273672,webhosting-operator-898b48d54-fczkg
1666196454,586197.3526273672,webhosting-operator-898b48d54-fczkg
1666196469,1119946.4,webhosting-operator-898b48d54-fczkg
1666196484,1119946.4,webhosting-operator-898b48d54-fczkg
1666196499,667565.3666666667,webhosting-operator-898b48d54-fczkg
1666196514,667565.3666666667,webhosting-operator-898b48d54-fczkg
1666196529,918441.7333333333,webhosting-operator-898b48d54-fczkg
1666196544,918441.7333333333,webhosting-operator-898b48d54-fczkg
1666196559,801359.0666666667,webhosting-operator-898b48d54-fczkg
1666196574,801359.0666666667,webhosting-operator-898b48d54-fczkg
1666196589,861408.2,webhosting-operator-898b48d54-fczkg
1666196604,861408.2,webhosting-operator-898b48d54-fczkg
1666196619,1291171.4333333333,webhosting-operator-898b48d54-fczkg
1666196634,1291171.4333333333,webhosting-operator-898b48d54-fczkg
1666196649,544271.9333333333,webhosting-operator-898b48d54-fczkg
1666196664,544271.9333333333,webhosting-operator-898b48d54-fczkg
1666196679,937706.7,webhosting-operator-898b48d54-fczkg
1666196694,937706.7,webhosting-operator-898b48d54-fczkg
1666196709,828779.4929802382,webhosting-operator-898b48d54-fczkg
1666196724,828779.4929802382,webhosting-operator-898b48d54-fczkg
1666196739,941782.0786854585,webhosting-operator-898b48d54-fczkg
1666196754,941782.0786854585,webhosting-operator-898b48d54-fczkg
1666196769,771971,webhosting-operator-898b48d54-fczkg
1666196784,771971,webhosting-operator-898b48d54-fczkg
1666196799,946284.8666666667,webhosting-operator-898b48d54-fczkg
1666196814,946284.8666666667,webhosting-operator-898b48d54-fczkg
1666196829,859572.3,webhosting-operator-898b48d54-fczkg
1666196844,859572.3,webhosting-operator-898b48d54-fczkg
1666196859,1447249.9333333333,webhosting-operator-898b48d54-fczkg
1666196874,1447249.9333333333,webhosting-operator-898b48d54-fczkg
1666196889,979271.2456344586,webhosting-operator-898b48d54-fczkg
1666196904,979271.2456344586,webhosting-operator-898b48d54-fczkg
1666196919,957113.9468849173,webhosting-operator-898b48d54-fczkg
1666196934,957113.9468849173,webhosting-operator-898b48d54-fczkg
1666196949,1143033.2333333334,webhosting-operator-898b48d54-fczkg
1666196964,1143033.2333333334,webhosting-operator-898b48d54-fczkg
1666196979,690541.3333333334,webhosting-operator-898b48d54-fczkg
