ts,value,theme
1666592682,0,theme-2pbdp
1666592697,0,theme-2pbdp
1666592712,5,theme-2pbdp
1666592727,5,theme-2pbdp
1666592742,10,theme-2pbdp
1666592757,10,theme-2pbdp
1666592772,14,theme-2pbdp
1666592787,15,theme-2pbdp
1666592802,24,theme-2pbdp
1666592817,25,theme-2pbdp
1666592832,30,theme-2pbdp
1666592847,33,theme-2pbdp
1666592862,41,theme-2pbdp
1666592877,43,theme-2pbdp
1666592892,48,theme-2pbdp
1666592907,51,theme-2pbdp
1666592922,58,theme-2pbdp
1666592937,63,theme-2pbdp
1666592952,66,theme-2pbdp
1666592967,69,theme-2pbdp
1666592982,73,theme-2pbdp
1666592997,76,theme-2pbdp
1666593012,78,theme-2pbdp
1666593027,80,theme-2pbdp
1666593042,82,theme-2pbdp
1666593057,85,theme-2pbdp
1666593072,92,theme-2pbdp
1666593087,96,theme-2pbdp
1666593102,104,theme-2pbdp
1666593117,108,theme-2pbdp
1666593132,113,theme-2pbdp
1666593147,114,theme-2pbdp
1666593162,118,theme-2pbdp
1666593177,121,theme-2pbdp
1666593192,130,theme-2pbdp
1666593207,130,theme-2pbdp
1666593222,134,theme-2pbdp
1666593237,138,theme-2pbdp
1666593252,142,theme-2pbdp
1666593267,147,theme-2pbdp
1666593282,151,theme-2pbdp
1666593297,154,theme-2pbdp
1666593312,154,theme-2pbdp
1666593327,154,theme-2pbdp
1666593342,154,theme-2pbdp
1666593357,154,theme-2pbdp
1666593372,154,theme-2pbdp
1666593387,154,theme-2pbdp
1666593402,154,theme-2pbdp
1666593417,154,theme-2pbdp
1666593432,154,theme-2pbdp
1666593447,154,theme-2pbdp
1666592682,0,theme-489f2
1666592697,0,theme-489f2
1666592712,4,theme-489f2
1666592727,8,theme-489f2
1666592742,13,theme-489f2
1666592757,15,theme-489f2
1666592772,18,theme-489f2
1666592787,22,theme-489f2
1666592802,28,theme-489f2
1666592817,31,theme-489f2
1666592832,35,theme-489f2
1666592847,36,theme-489f2
1666592862,40,theme-489f2
1666592877,41,theme-489f2
1666592892,47,theme-489f2
1666592907,49,theme-489f2
1666592922,52,theme-489f2
1666592937,53,theme-489f2
1666592952,55,theme-489f2
1666592967,58,theme-489f2
1666592982,67,theme-489f2
1666592997,69,theme-489f2
1666593012,72,theme-489f2
1666593027,74,theme-489f2
1666593042,82,theme-489f2
1666593057,83,theme-489f2
1666593072,86,theme-489f2
1666593087,86,theme-489f2
1666593102,91,theme-489f2
1666593117,93,theme-489f2
1666593132,98,theme-489f2
1666593147,98,theme-489f2
1666593162,106,theme-489f2
1666593177,106,theme-489f2
1666593192,109,theme-489f2
1666593207,109,theme-489f2
1666593222,115,theme-489f2
1666593237,119,theme-489f2
1666593252,122,theme-489f2
1666593267,124,theme-489f2
1666593282,132,theme-489f2
1666593297,136,theme-489f2
1666593312,138,theme-489f2
1666593327,138,theme-489f2
1666593342,138,theme-489f2
1666593357,138,theme-489f2
1666593372,138,theme-489f2
1666593387,138,theme-489f2
1666593402,138,theme-489f2
1666593417,138,theme-489f2
1666593432,138,theme-489f2
1666593447,138,theme-489f2
1666592682,0,theme-4hm6d
1666592697,0,theme-4hm6d
1666592712,3,theme-4hm6d
1666592727,5,theme-4hm6d
1666592742,6,theme-4hm6d
1666592757,9,theme-4hm6d
1666592772,12,theme-4hm6d
1666592787,13,theme-4hm6d
1666592802,20,theme-4hm6d
1666592817,22,theme-4hm6d
1666592832,25,theme-4hm6d
1666592847,30,theme-4hm6d
1666592862,31,theme-4hm6d
1666592877,32,theme-4hm6d
1666592892,37,theme-4hm6d
1666592907,40,theme-4hm6d
1666592922,45,theme-4hm6d
1666592937,47,theme-4hm6d
1666592952,53,theme-4hm6d
1666592967,58,theme-4hm6d
1666592982,61,theme-4hm6d
1666592997,64,theme-4hm6d
1666593012,69,theme-4hm6d
1666593027,72,theme-4hm6d
1666593042,80,theme-4hm6d
1666593057,82,theme-4hm6d
1666593072,89,theme-4hm6d
1666593087,91,theme-4hm6d
1666593102,97,theme-4hm6d
1666593117,98,theme-4hm6d
1666593132,102,theme-4hm6d
1666593147,111,theme-4hm6d
1666593162,116,theme-4hm6d
1666593177,117,theme-4hm6d
1666593192,123,theme-4hm6d
1666593207,125,theme-4hm6d
1666593222,128,theme-4hm6d
1666593237,128,theme-4hm6d
1666593252,130,theme-4hm6d
1666593267,131,theme-4hm6d
1666593282,135,theme-4hm6d
1666593297,136,theme-4hm6d
1666593312,139,theme-4hm6d
